"Gender","Profession","Work_Experience","Spending_Score","Family_Size","Var_1","Segmentation","ageRanked","age_dRanked_Bins","IsGraduated","EverMarriedTRUE"
"Male","Healthcare","1","Low","4","Cat_4","D","1","18-25",FALSE,FALSE
"Female","Engineer","1","Low","1","Cat_6","B","9","57-68",TRUE,TRUE
"Male","Lawyer","0","High","2","Cat_6","B","9","57-68",TRUE,TRUE
"Male","Artist","0","Average","2","Cat_6","C","8","50-57",FALSE,TRUE
"Male","Healthcare","1","Low","3","Cat_6","C","3","29-33",TRUE,FALSE
"Female","Healthcare","1","Low","3","Cat_6","D","3","29-33",TRUE,FALSE
"Female","Engineer","0","Low","3","Cat_7","D","9","57-68",TRUE,TRUE
"Female","Artist","1","Average","4","Cat_6","C","8","50-57",TRUE,TRUE
"Female","Engineer","1","Low","3","Cat_6","A","2","25-29",TRUE,FALSE
"Male","Healthcare","4","Low","4","Cat_4","D","1","18-25",FALSE,FALSE
"Female","Doctor","0","Low","1","Cat_3","B","9","57-68",FALSE,TRUE
"Female","Healthcare","1","Low","2","Cat_1","C","5","37-41",FALSE,FALSE
"Female","Homemaker","9","Low","5","Cat_3","D","3","29-33",FALSE,FALSE
"Male","Healthcare","1","Low","6","Cat_6","B","3","29-33",FALSE,FALSE
"Male","Entertainment","1","Average","4","Cat_6","B","9","57-68",TRUE,TRUE
"Female","Artist","0","High","1","Cat_6","C","10","68-89",TRUE,TRUE
"Male","Homemaker","12","Low","1","Cat_3","A","7","45-50",TRUE,TRUE
"Female","Healthcare","3","Low","4","Cat_6","D","1","18-25",FALSE,FALSE
"Male","Artist","13","Low","2","Cat_3","A","3","29-33",TRUE,TRUE
"Female","Artist","5","Low","2","Cat_6","B","4","33-37",TRUE,FALSE
"Male","Artist","1","Average","3","Cat_6","C","8","50-57",FALSE,TRUE
"Male","Healthcare","9","Low","8","Cat_4","A","3","29-33",FALSE,FALSE
"Male","Artist","1","Average","3","Cat_6","C","7","45-50",TRUE,TRUE
"Male","Artist","0","Low","1","Cat_6","B","4","33-37",TRUE,FALSE
"Female","Artist","5","Low","4","Cat_6","C","4","33-37",FALSE,FALSE
"Female","Artist","0","Low","3","Cat_6","C","6","41-45",TRUE,TRUE
"Female","Doctor","1","Low","2","Cat_4","A","6","41-45",FALSE,TRUE
