ID,Airline name ,Travel,Time,Stops,Ticket prize(Doller),Depreture  Airport,Depreture Time,1st Stoppage Waiting Hour,1st Stoppage,2nd StoppageWaiting Time,2nd Stoppage,3rd Stoppage Waiting time,3rd Stoppage,Destination Airport,Arrival Time,Arrival Date
1,Multiple,23h,45m,2,859,STN,02:55p,2h 30m,DXB,,,,,LGA,08:40p,   Apr 8
2,Emirates,34h,40m,1,781,STN,02:55p,21h 30m,DXB,,,,,EWR,07:35a,   Apr 9
3,Emirates,22h,0m,1,771,STN,02:55p,8h 40m,DXB,,,,,EWR,06:55p,   Apr 8
4,Emirates,16h,5m,1,771,STN,02:55p,2h 45m,DXB,,,,,JFK,01:00p,   Apr 8
5,Emirates,15h,20m,1,771,STN,02:55p,1h 50m,DXB,,,,,EWR,12:15p,   Apr 8
6,IndiGo,13h,45m,1,409,SHJ,03:40p,7h 20m,TRV,,,,,BKK,06:00p,   Apr 8
7,IndiGo,8h,40m,1,387,SHJ,08:45p,2h 15m,TRV,,,,,BKK,02:15p,   Apr 8
8,IndiGo,20h,10m,1,282,SHJ,05:25a,13h 50m,LKO,,,,,BKK,02:15p,   Apr 8
9,IndiGo,17h,10m,1,282,SHJ,08:25a,10h 45m,LKO,,,,,BKK,02:15p,   Apr 8
10,IndiGo,28h,20m,1,239,SHJ,06:50p,23h 25m,HYD,,,,,BKK,01:40a,   Apr 8
11,IndiGo,26h,40m,1,239,SHJ,08:30p,21h 40m,HYD,,,,,BKK,03:00a,   Apr 8
12,IndiGo,17h,50m,1,239,SHJ,05:20a,12h 35m,HYD,,,,,BKK,03:00a,   Apr 8
13,IndiGo,16h,20m,1,239,SHJ,06:50a,11h 10m,HYD,,,,,BKK,01:40a,   Apr 8
14,IndiGo,14h,0m,1,226,SHJ,09:10a,8h 50m,HYD,,,,,BKK,04:10p,   Apr 8
15,IndiGo,12h,15m,1,226,SHJ,10:55a,7h 0m,HYD,,,,,BKK,04:10p,   Apr 8
16,Singapore,23h,10m,1,1555,LHR,09:10a,7h 20m,SIN,sc-jRQBWg 3,sc-eCImPb 5,,,JFK,02:20p,   Apr 8
17,Singapore,20h,55m,1,1555,LHR,11:25a,5h 20m,SIN,,,,,EWR,02:20p,   Apr 8
18,Singapore,19h,50m,1,1555,LHR,09:10a,4h 0m,SIN,,,,,EWR,11:00a,   Apr 8
19,Singapore,17h,35m,1,1555,LHR,11:25a,2h 0m,SIN,,,,,EWR,11:00a,   Apr 8
20,Singapore,17h,25m,1,1555,LHR,09:10a,1h 40m,SIN,,,,,EWR,08:35a,   Apr 8
21,SWISS,35h,10m,2,1486,LHR,05:15p,14h 5m,GVA,,,,,EWR,10:25a,   Apr 9
22,British,33h,5m,1,1416,LHR,04:00p,19h 10m,DOH,,,,,EWR,07:05a,   Apr 9
23,Qatar,33h,5m,1,1404,LHR,04:00p,19h 10m,DOH,,,,,EWR,07:05a,   Apr 9
24,Multiple,18h,25m,1,1399,LHR,11:55a,4h 40m,DOH,,,,,EWR,12:20p,   Apr 8
25,Multiple,15h,15m,1,1399,LHR,03:05p,1h 30m,DOH,,,,,EWR,12:20p,   Apr 8
26,KLM-Royal Dutch,18h,50m,1,1366,LHR,08:40a,6h 10m,AMS,,,,,EWR,09:30a,   Apr 8
27,KLM-Royal Dutch,17h,35m,1,1366,LHR,09:55a,4h 45m,AMS,,,,,EWR,09:30a,   Apr 8
28,Kuwait,16h,25m,1,1331,LHR,11:45a,3h 20m,KWI,,,,,EWR,10:10a,   Apr 8
29,Turkish,26h,40m,1,1324,LHR,06:45a,13h 10m,IST,,,,,JFK,03:25p,   Apr 8
30,British,32h,25m,1,1283,LHR,09:55p,18h 30m,DOH,,,,,JFK,12:20p,   Apr 9
31,British,27h,10m,1,1283,LHR,09:55p,13h 15m,DOH,,,,,JFK,07:05a,   Apr 9
32,Austrian,26h,40m,1,1281,LHR,06:00a,14h 15m,VIE,,,,,JFK,02:40p,   Apr 8
33,Lufthansa,25h,15m,1,1281,LHR,06:55a,12h 40m,MUC,,,,,JFK,02:10p,   Apr 8
34,Lufthansa,24h,45m,1,1281,LHR,07:25a,12h 10m,MUC,,,,,JFK,02:10p,   Apr 8
35,Austrian,23h,35m,1,1281,LHR,09:05a,11h 5m,VIE,,,,,JFK,02:40p,   Apr 8
36,Lufthansa,21h,20m,1,1281,LHR,10:50a,8h 45m,MUC,,,,,EWR,02:10p,   Apr 8
37,Lufthansa,18h,35m,1,1281,LHR,01:35p,6h 0m,MUC,,,,,JFK,02:10p,   Apr 8
